date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,20.0,36.0,12.0,0.0
04.03.20,42.0,40.0,18.0,4.0
05.03.20,50.0,96.0,16.0,0.0
06.03.20,50.0,134.0,28.0,8.0
07.03.20,8.0,34.0,10.0,2.0
08.03.20,22.0,66.0,30.0,8.0
09.03.20,30.0,120.0,24.0,12.0
10.03.20,26.0,126.0,40.0,6.0
11.03.20,62.0,190.0,48.0,44.0
12.03.20,76.0,246.0,112.0,60.0
13.03.20,112.0,381.0,116.0,58.0
14.03.20,46.0,154.0,88.0,66.0
15.03.20,50.0,183.0,103.0,90.0
16.03.20,64.0,404.0,198.0,106.0
17.03.20,102.0,375.0,221.0,144.0
18.03.20,98.0,498.0,322.0,152.0
19.03.20,112.0,673.0,434.0,204.0
20.03.20,109.0,604.0,396.0,212.0
21.03.20,66.0,424.0,270.0,173.0
22.03.20,62.0,455.0,280.0,174.0
23.03.20,310.0,1172.0,774.0,394.0
24.03.20,218.0,1061.0,689.0,404.0
25.03.20,192.0,1037.0,724.0,434.0
26.03.20,270.0,1172.0,792.0,486.0
27.03.20,212.0,1329.0,886.0,608.0
28.03.20,128.0,771.0,486.0,298.0
29.03.20,180.0,583.0,340.0,264.0
30.03.20,326.0,1534.0,837.0,778.0
31.03.20,294.0,1271.0,783.0,1007.0
01.04.20,294.0,1208.0,672.0,852.0
02.04.20,259.0,1165.0,682.0,838.0
03.04.20,306.0,1201.0,816.0,1058.0
04.04.20,194.0,654.0,392.0,605.0
05.04.20,128.0,536.0,335.0,331.0
06.04.20,346.0,1429.0,786.0,1296.0
07.04.20,250.0,1102.0,572.0,1085.0
08.04.20,249.0,1128.0,574.0,1236.0
09.04.20,412.0,1290.0,764.0,2004.0
10.04.20,490.0,1613.0,730.0,1830.0
11.04.20,216.0,538.0,370.0,934.0
12.04.20,119.0,324.0,226.0,373.0
13.04.20,118.0,356.0,219.0,377.0
14.04.20,320.0,1093.0,588.0,1108.0
15.04.20,282.0,935.0,614.0,1434.0
16.04.20,296.0,950.0,530.0,1570.0
17.04.20,275.0,794.0,518.0,1193.0
18.04.20,148.0,423.0,276.0,594.0
19.04.20,58.0,233.0,164.0,429.0
20.04.20,248.0,771.0,462.0,1062.0
21.04.20,287.0,811.0,444.0,992.0
22.04.20,173.0,512.0,258.0,611.0
23.04.20,209.0,544.0,328.0,862.0
24.04.20,168.0,549.0,250.0,646.0
25.04.20,90.0,248.0,122.0,312.0
26.04.20,45.0,180.0,74.0,108.0
27.04.20,214.0,562.0,244.0,487.0
28.04.20,132.0,423.0,215.0,358.0
29.04.20,140.0,412.0,218.0,269.0
30.04.20,130.0,422.0,204.0,408.0
01.05.20,68.0,166.0,72.0,165.0
02.05.20,78.0,188.0,92.0,212.0
03.05.20,42.0,110.0,48.0,80.0
04.05.20,178.0,611.0,210.0,336.0
05.05.20,172.0,432.0,194.0,288.0
06.05.20,160.0,471.0,194.0,272.0
07.05.20,192.0,330.0,128.0,230.0
08.05.20,206.0,380.0,194.0,182.0
09.05.20,105.0,200.0,72.0,102.0
10.05.20,32.0,82.0,54.0,68.0
11.05.20,178.0,418.0,148.0,206.0
12.05.20,154.0,308.0,132.0,186.0
13.05.20,107.0,262.0,124.0,143.0
14.05.20,144.0,246.0,88.0,126.0
15.05.20,137.0,288.0,124.0,142.0
16.05.20,63.0,126.0,54.0,50.0
17.05.20,26.0,82.0,36.0,16.0
18.05.20,162.0,252.0,94.0,122.0
19.05.20,118.0,236.0,96.0,132.0
20.05.20,174.0,330.0,110.0,150.0
21.05.20,30.0,56.0,10.0,40.0
22.05.20,102.0,211.0,90.0,86.0
23.05.20,50.0,88.0,42.0,66.0
24.05.20,34.0,50.0,26.0,38.0
25.05.20,99.0,274.0,144.0,110.0
26.05.20,114.0,158.0,72.0,60.0
27.05.20,72.0,160.0,70.0,62.0
28.05.20,74.0,130.0,66.0,72.0
29.05.20,76.0,135.0,54.0,62.0
30.05.20,26.0,44.0,20.0,32.0
31.05.20,26.0,35.0,18.0,16.0
01.06.20,20.0,40.0,38.0,20.0
02.06.20,82.0,158.0,66.0,50.0
03.06.20,93.0,132.0,60.0,28.0
04.06.20,68.0,135.0,62.0,76.0
05.06.20,82.0,138.0,52.0,36.0
06.06.20,34.0,58.0,22.0,22.0
07.06.20,22.0,44.0,24.0,14.0
08.06.20,69.0,132.0,60.0,39.0
09.06.20,78.0,114.0,62.0,30.0
10.06.20,70.0,94.0,34.0,40.0
11.06.20,58.0,78.0,24.0,30.0
12.06.20,56.0,76.0,20.0,24.0
13.06.20,24.0,40.0,16.0,18.0
14.06.20,10.0,16.0,8.0,10.0
15.06.20,76.0,124.0,36.0,56.0
16.06.20,48.0,90.0,48.0,12.0
17.06.20,70.0,102.0,34.0,36.0
18.06.20,76.0,92.0,22.0,24.0
19.06.20,108.0,82.0,32.0,18.0
20.06.20,36.0,28.0,20.0,16.0
21.06.20,9.0,14.0,10.0,6.0
22.06.20,67.0,113.0,52.0,48.0
23.06.20,74.0,108.0,26.0,12.0
24.06.20,90.0,74.0,22.0,14.0
25.06.20,60.0,60.0,20.0,10.0
26.06.20,64.0,110.0,32.0,16.0
27.06.20,20.0,36.0,16.0,10.0
28.06.20,11.0,16.0,12.0,6.0
29.06.20,78.0,119.0,34.0,18.0
30.06.20,84.0,80.0,24.0,10.0
01.07.20,108.0,118.0,22.0,18.0
02.07.20,66.0,70.0,30.0,16.0
03.07.20,50.0,82.0,34.0,22.0
04.07.20,49.0,52.0,16.0,10.0
05.07.20,10.0,20.0,8.0,10.0
06.07.20,60.0,112.0,30.0,22.0
07.07.20,54.0,114.0,20.0,10.0
08.07.20,108.0,116.0,36.0,12.0
09.07.20,75.0,136.0,20.0,16.0
10.07.20,96.0,119.0,28.0,10.0
11.07.20,48.0,40.0,22.0,14.0
12.07.20,20.0,40.0,18.0,8.0
13.07.20,142.0,210.0,74.0,22.0
14.07.20,172.0,170.0,42.0,26.0
15.07.20,212.0,214.0,72.0,16.0
16.07.20,182.0,202.0,32.0,28.0
17.07.20,215.0,235.0,68.0,24.0
18.07.20,112.0,102.0,32.0,14.0
19.07.20,48.0,60.0,10.0,10.0
20.07.20,372.0,408.0,80.0,22.0
21.07.20,96.0,130.0,36.0,28.0
22.07.20,414.0,562.0,99.0,26.0
23.07.20,366.0,402.0,80.0,30.0
24.07.20,442.0,424.0,97.0,26.0
25.07.20,184.0,220.0,30.0,22.0
26.07.20,134.0,150.0,48.0,28.0
27.07.20,442.0,586.0,96.0,56.0
28.07.20,506.0,712.0,102.0,44.0
29.07.20,508.0,701.0,144.0,46.0
30.07.20,498.0,587.0,148.0,34.0
31.07.20,540.0,672.0,106.0,44.0
01.08.20,243.0,296.0,64.0,14.0
02.08.20,116.0,146.0,20.0,12.0
03.08.20,654.0,728.0,158.0,41.0
04.08.20,669.0,785.0,146.0,16.0
05.08.20,638.0,729.0,124.0,46.0
06.08.20,653.0,710.0,120.0,50.0
07.08.20,641.0,682.0,134.0,72.0
08.08.20,252.0,282.0,54.0,14.0
09.08.20,84.0,118.0,36.0,6.0
10.08.20,668.0,850.0,158.0,56.0
11.08.20,605.0,694.0,92.0,34.0
12.08.20,461.0,566.0,118.0,67.0
13.08.20,466.0,644.0,108.0,110.0
14.08.20,480.0,506.0,108.0,68.0
15.08.20,128.0,146.0,34.0,4.0
