date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,,,,
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,,,,
18.03.20,,,,
19.03.20,,,,
20.03.20,,,,
21.03.20,,,,
22.03.20,,,,
23.03.20,,,,
24.03.20,,,,
25.03.20,,,,
26.03.20,,,,
27.03.20,,,,
28.03.20,,,,
29.03.20,,,,
30.03.20,,,,
31.03.20,,,,
01.04.20,,,,
02.04.20,,,,
03.04.20,,,,
04.04.20,,,,
05.04.20,,,,
06.04.20,,,,
07.04.20,,,,
08.04.20,,,,
09.04.20,,,,
10.04.20,,,,
11.04.20,,,,
12.04.20,,,,
13.04.20,,,,
14.04.20,,,,
15.04.20,,,,
16.04.20,,,,
17.04.20,,,,
18.04.20,,,,
19.04.20,,,,
20.04.20,,,,
21.04.20,,,,
22.04.20,,,,
23.04.20,,,,
24.04.20,,,,
25.04.20,,,,
26.04.20,,,,
27.04.20,,,,
28.04.20,,,,
29.04.20,,,,
30.04.20,,,,
01.05.20,,,,
02.05.20,,,,
03.05.20,,,,
04.05.20,,,,
05.05.20,,,,
06.05.20,,,,
07.05.20,,,,
08.05.20,,,,
09.05.20,,,,
10.05.20,,,,
11.05.20,,,,
12.05.20,,,,
13.05.20,,,,
14.05.20,,,,
15.05.20,,,,
16.05.20,,,,
17.05.20,,,,
18.05.20,,,,
19.05.20,,,,
20.05.20,,,,
21.05.20,,,,
22.05.20,,,,
23.05.20,,,,
24.05.20,,,,
25.05.20,,,,
26.05.20,,,,
27.05.20,,,,
28.05.20,,,,
29.05.20,,,,
30.05.20,,,,
31.05.20,,,,
01.06.20,,,,
02.06.20,,,,
03.06.20,,,,
04.06.20,,,,
05.06.20,,,,
06.06.20,,,,
07.06.20,12.0,28.0,5.0,1.0
08.06.20,3.0,8.0,2.0,0.0
09.06.20,11.0,66.0,5.0,1.0
10.06.20,16.0,47.0,15.0,1.0
11.06.20,25.0,59.0,16.0,4.0
12.06.20,19.0,44.0,26.0,4.0
13.06.20,17.0,68.0,19.0,1.0
14.06.20,13.0,41.0,20.0,1.0
15.06.20,6.0,13.0,4.0,1.0
16.06.20,13.0,27.0,11.0,0.0
17.06.20,28.0,61.0,21.0,2.0
18.06.20,14.0,44.0,30.0,1.0
19.06.20,29.0,74.0,26.0,3.0
20.06.20,,,,
21.06.20,,,,
22.06.20,4.0,24.0,5.0,0.0
23.06.20,12.0,43.0,22.0,2.0
24.06.20,20.0,76.0,31.0,3.0
25.06.20,27.0,69.0,32.0,0.0
26.06.20,42.0,91.0,28.0,5.0
27.06.20,25.0,65.0,15.0,0.0
28.06.20,,,,
29.06.20,,,,
30.06.20,21.0,95.0,19.0,5.0
01.07.20,33.0,91.0,32.0,2.0
02.07.20,44.0,85.0,33.0,3.0
03.07.20,56.0,78.0,23.0,4.0
04.07.20,55.0,92.0,32.0,3.0
05.07.20,75.0,68.0,31.0,6.0
06.07.20,11.0,33.0,19.0,0.0
07.07.20,65.0,88.0,19.0,2.0
08.07.20,64.0,94.0,29.0,1.0
09.07.20,120.0,92.0,25.0,3.0
10.07.20,107.0,175.0,45.0,3.0
11.07.20,114.0,145.0,32.0,1.0
12.07.20,70.0,103.0,35.0,3.0
13.07.20,24.0,39.0,12.0,2.0
14.07.20,53.0,74.0,29.0,3.0
15.07.20,57.0,130.0,44.0,3.0
16.07.20,74.0,111.0,44.0,3.0
17.07.20,62.0,160.0,43.0,2.0
18.07.20,74.0,177.0,41.0,6.0
19.07.20,49.0,100.0,43.0,4.0
20.07.20,27.0,52.0,16.0,0.0
21.07.20,54.0,107.0,33.0,2.0
22.07.20,94.0,160.0,69.0,2.0
23.07.20,,,,
24.07.20,,,,
25.07.20,,,,
26.07.20,,,,
27.07.20,27.0,61.0,23.0,4.0
28.07.20,25.0,103.0,59.0,7.0
29.07.20,32.0,143.0,71.0,4.0
30.07.20,50.0,137.0,73.0,24.0
31.07.20,44.0,151.0,60.0,10.0
01.08.20,29.0,134.0,71.0,36.0
02.08.20,19.0,64.0,44.0,19.0
03.08.20,2.0,47.0,41.0,29.0
04.08.20,36.0,125.0,39.0,4.0
05.08.20,,,,
06.08.20,,,,
07.08.20,,,,
08.08.20,,,,
09.08.20,,,,
10.08.20,,,,
11.08.20,14.0,70.0,28.0,4.0
12.08.20,55.0,89.0,60.0,6.0
13.08.20,23.0,93.0,47.0,8.0
14.08.20,28.0,103.0,37.0,8.0
15.08.20,,,,
