age,PopTotal
0,63132
1,62706
2,62897
3,63590
4,62218
5,65029
6,67649
7,69992
8,71971
9,73792
10,75661
11,76030
12,74228
13,71045
14,68047
15,65051
16,62461
17,60680
18,59619
19,58611
20,57586
21,58140
22,60935
23,65244
24,69527
25,73910
26,78395
27,82767
28,86922
29,91213
30,95872
31,98723
32,98816
33,97201
34,95680
35,93648
36,93227
37,95575
38,99582
39,103011
40,106348
41,108656
42,109252
43,108650
44,108178
45,107735
46,106603
47,104609
48,102100
49,99535
50,96752
51,94758
52,94074
53,94261
54,94318
55,94411
56,94547
57,94621
58,94654
59,94760
60,94905
61,94939
62,94797
63,94505
64,94003
65,93127
66,92527
67,92465
68,92521
69,92262
70,92081
71,89961
72,84952
73,78112
74,71370
75,64260
76,58233
77,54180
78,51393
79,48276
80,45148
81,41920
82,38388
83,34690
84,31235
85,28026
86,24654
87,20982
88,17215
89,13182
90,9793
91,7883
92,6023
93,4154
94,2805
95,2148
96,1699
97,1162
98,536
99,231
100,158
