date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,223.0,652.0,68.0,12.0
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,6.0,48.0,42.0,28.0
18.03.20,6.0,68.0,72.0,22.0
19.03.20,10.0,70.0,64.0,32.0
20.03.20,10.0,86.0,64.0,28.0
21.03.20,16.0,92.0,62.0,30.0
22.03.20,8.0,58.0,52.0,20.0
23.03.20,4.0,38.0,44.0,24.0
24.03.20,14.0,102.0,118.0,20.0
25.03.20,20.0,112.0,98.0,46.0
26.03.20,18.0,100.0,112.0,42.0
27.03.20,20.0,136.0,118.0,44.0
28.03.20,22.0,194.0,120.0,46.0
29.03.20,38.0,182.0,132.0,36.0
30.03.20,40.0,138.0,96.0,46.0
31.03.20,42.0,268.0,144.0,66.0
01.04.20,46.0,330.0,120.0,58.0
02.04.20,58.0,302.0,110.0,56.0
03.04.20,80.0,332.0,152.0,70.0
04.04.20,146.0,424.0,176.0,64.0
05.04.20,100.0,322.0,128.0,34.0
06.04.20,106.0,312.0,100.0,38.0
07.04.20,120.0,348.0,132.0,62.0
08.04.20,186.0,418.0,162.0,50.0
09.04.20,102.0,264.0,96.0,36.0
10.04.20,82.0,166.0,76.0,44.0
11.04.20,112.0,164.0,52.0,26.0
12.04.20,68.0,182.0,62.0,44.0
13.04.20,82.0,156.0,38.0,12.0
14.04.20,66.0,178.0,76.0,36.0
15.04.20,82.0,188.0,60.0,40.0
16.04.20,84.0,224.0,52.0,36.0
17.04.20,90.0,174.0,80.0,44.0
18.04.20,60.0,162.0,68.0,48.0
19.04.20,74.0,134.0,56.0,20.0
20.04.20,74.0,102.0,44.0,42.0
21.04.20,80.0,190.0,60.0,30.0
22.04.20,76.0,230.0,84.0,44.0
23.04.20,78.0,144.0,68.0,32.0
24.04.20,60.0,148.0,42.0,24.0
25.04.20,112.0,186.0,102.0,70.0
26.04.20,80.0,120.0,38.0,22.0
27.04.20,66.0,108.0,38.0,34.0
28.04.20,92.0,144.0,44.0,26.0
29.04.20,80.0,144.0,48.0,42.0
30.04.20,94.0,132.0,50.0,24.0
01.05.20,116.0,120.0,42.0,28.0
02.05.20,60.0,106.0,14.0,12.0
03.05.20,54.0,106.0,54.0,18.0
04.05.20,100.0,144.0,32.0,18.0
05.05.20,98.0,156.0,38.0,10.0
06.05.20,80.0,100.0,42.0,12.0
07.05.20,74.0,148.0,42.0,26.0
08.05.20,84.0,120.0,44.0,22.0
09.05.20,64.0,88.0,46.0,4.0
10.05.20,58.0,118.0,38.0,6.0
11.05.20,68.0,72.0,18.0,10.0
12.05.20,48.0,82.0,18.0,8.0
13.05.20,44.0,92.0,12.0,4.0
14.05.20,22.0,60.0,6.0,4.0
15.05.20,46.0,72.0,28.0,10.0
16.05.20,44.0,54.0,26.0,10.0
17.05.20,-1269.0,-3291.0,-1043.0,-597.0
18.05.20,1343.0,3391.0,1079.0,607.0
19.05.20,52.0,62.0,34.0,4.0
20.05.20,48.0,74.0,14.0,10.0
21.05.20,0.0,0.0,0.0,0.0
22.05.20,92.0,100.0,30.0,4.0
23.05.20,0.0,0.0,0.0,0.0
24.05.20,0.0,0.0,0.0,0.0
25.05.20,90.0,164.0,36.0,24.0
26.05.20,28.0,38.0,8.0,8.0
27.05.20,38.0,46.0,10.0,10.0
28.05.20,30.0,18.0,14.0,2.0
29.05.20,48.0,58.0,40.0,16.0
30.05.20,0.0,0.0,0.0,0.0
31.05.20,0.0,0.0,0.0,0.0
01.06.20,0.0,0.0,0.0,0.0
02.06.20,86.0,120.0,58.0,18.0
03.06.20,13.0,16.0,6.0,2.0
04.06.20,13.0,19.0,8.0,0.0
05.06.20,0.0,0.0,0.0,0.0
06.06.20,0.0,0.0,0.0,0.0
07.06.20,0.0,0.0,0.0,0.0
08.06.20,128.0,173.0,60.0,18.0
09.06.20,0.0,0.0,0.0,0.0
10.06.20,52.0,42.0,14.0,0.0
11.06.20,5.0,10.0,1.0,3.0
12.06.20,25.0,27.0,10.0,2.0
13.06.20,0.0,0.0,0.0,0.0
14.06.20,0.0,0.0,0.0,0.0
15.06.20,84.0,147.0,65.0,23.0
16.06.20,20.0,28.0,12.0,6.0
17.06.20,22.0,50.0,10.0,6.0
18.06.20,32.0,50.0,18.0,0.0
19.06.20,26.0,56.0,12.0,0.0
20.06.20,0.0,0.0,0.0,0.0
21.06.20,0.0,0.0,0.0,0.0
