age,PopTotal
0,65236
1,62108
2,59975
3,58718
4,56313
5,57678
6,59273
7,61010
8,62798
9,64753
10,66988
11,68396
12,68473
13,67747
14,67173
15,66485
16,66479
17,67625
18,69505
19,71125
20,72551
21,74132
22,75900
23,77652
24,79286
25,80986
26,81470
27,80142
28,77624
29,75247
30,72881
31,70512
32,68312
33,66358
34,64379
35,62227
36,61473
37,62806
38,65481
39,68143
40,71171
41,73368
42,74039
43,73794
44,73775
45,73548
46,74238
47,76453
48,79503
49,82200
50,84913
51,86332
52,85722
53,83757
54,81861
55,79783
56,77771
57,76102
58,74635
59,73069
60,71607
61,69892
62,67762
63,65521
64,63256
65,60479
66,59753
67,62211
68,66454
69,70247
70,74404
71,75587
72,72023
73,65400
74,59158
75,52586
76,46910
77,43081
78,40431
79,37365
80,34220
81,31134
82,28021
83,24964
84,22105
85,19393
86,16984
87,14966
88,13245
89,11554
90,10337
91,9102
92,7535
93,5662
94,4328
95,3736
96,3125
97,2353
98,1421
99,820
100,1275
