age,PopTotal
0,48600
1,51977
2,54794
3,57092
4,58605
5,60037
6,61102
7,61836
8,62271
9,62486
10,62565
11,62309
12,61659
13,60788
14,59928
15,59033
16,58541
17,58693
18,59331
19,59909
20,60370
21,61481
22,63516
23,66065
24,68567
25,71283
26,72895
27,72731
28,71447
29,70292
30,68922
31,68225
32,68738
33,69972
34,70915
35,71786
36,72259
37,72073
38,71423
39,70900
40,70548
41,69672
42,68030
43,66010
44,64098
45,62030
46,61200
47,62298
48,64632
49,66803
50,69062
51,70964
52,72133
53,72786
54,73575
55,74455
56,74833
57,74506
58,73727
59,72934
60,72021
61,71390
62,71273
63,71491
64,71401
65,70867
66,71001
67,72207
68,73845
69,75196
70,76793
71,75882
72,71143
73,63997
74,57086
75,49757
76,43927
77,40775
78,39344
79,37505
80,35694
81,33684
82,31151
83,28328
84,25771
85,23377
86,21049
87,18795
88,16621
89,14370
90,12687
91,11126
92,9062
93,6535
94,4726
95,3961
96,3259
97,2380
98,1327
99,716
100,917
