date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,31.0,38.0,16.0,0.0
04.03.20,59.0,78.0,13.0,4.0
05.03.20,73.0,92.0,17.0,2.0
06.03.20,44.0,103.0,32.0,7.0
07.03.20,42.0,70.0,27.0,2.0
08.03.20,31.0,60.0,9.0,2.0
09.03.20,104.0,193.0,42.0,8.0
10.03.20,176.0,310.0,101.0,14.0
11.03.20,224.0,383.0,139.0,11.0
12.03.20,234.0,600.0,140.0,16.0
13.03.20,383.0,827.0,214.0,28.0
14.03.20,390.0,733.0,161.0,23.0
15.03.20,272.0,545.0,128.0,32.0
16.03.20,573.0,1112.0,315.0,49.0
17.03.20,912.0,1613.0,428.0,91.0
18.03.20,1068.0,1893.0,553.0,94.0
19.03.20,1182.0,2091.0,661.0,122.0
20.03.20,1213.0,1992.0,674.0,163.0
21.03.20,1019.0,1558.0,627.0,151.0
22.03.20,639.0,1087.0,423.0,115.0
23.03.20,1061.0,1755.0,729.0,185.0
24.03.20,1397.0,2250.0,948.0,288.0
25.03.20,1542.0,2723.0,1090.0,333.0
26.03.20,1649.0,2653.0,1194.0,415.0
27.03.20,1614.0,2602.0,1281.0,495.0
28.03.20,1320.0,1936.0,1026.0,448.0
29.03.20,847.0,1316.0,639.0,283.0
30.03.20,1049.0,1740.0,889.0,448.0
31.03.20,1566.0,2508.0,1307.0,682.0
01.04.20,1628.0,2523.0,1359.0,752.0
02.04.20,1669.0,2642.0,1388.0,854.0
03.04.20,1570.0,2425.0,1306.0,890.0
04.04.20,1088.0,1764.0,909.0,578.0
05.04.20,649.0,1004.0,521.0,379.0
06.04.20,939.0,1383.0,787.0,564.0
07.04.20,1349.0,2098.0,1026.0,722.0
08.04.20,1323.0,2118.0,1040.0,799.0
09.04.20,1299.0,1906.0,948.0,764.0
10.04.20,874.0,1272.0,629.0,578.0
11.04.20,802.0,1054.0,507.0,533.0
12.04.20,461.0,638.0,340.0,427.0
13.04.20,394.0,504.0,331.0,365.0
14.04.20,659.0,864.0,468.0,478.0
15.04.20,860.0,1244.0,626.0,595.0
16.04.20,1009.0,1344.0,610.0,458.0
17.04.20,941.0,1120.0,536.0,453.0
18.04.20,631.0,751.0,401.0,327.0
19.04.20,366.0,474.0,258.0,280.0
20.04.20,455.0,617.0,318.0,336.0
21.04.20,664.0,766.0,401.0,358.0
22.04.20,778.0,899.0,419.0,398.0
23.04.20,626.0,711.0,361.0,386.0
24.04.20,663.0,633.0,344.0,266.0
25.04.20,382.0,438.0,231.0,223.0
26.04.20,228.0,236.0,118.0,124.0
27.04.20,383.0,367.0,220.0,147.0
28.04.20,479.0,521.0,246.0,215.0
29.04.20,468.0,502.0,252.0,214.0
30.04.20,457.0,520.0,259.0,225.0
01.05.20,287.0,309.0,170.0,152.0
02.05.20,234.0,208.0,98.0,81.0
03.05.20,180.0,164.0,55.0,28.0
04.05.20,263.0,245.0,115.0,101.0
05.05.20,372.0,404.0,187.0,129.0
06.05.20,400.0,448.0,198.0,168.0
07.05.20,410.0,447.0,199.0,140.0
08.05.20,347.0,364.0,149.0,122.0
09.05.20,226.0,260.0,115.0,77.0
10.05.20,122.0,130.0,56.0,33.0
11.05.20,264.0,255.0,90.0,75.0
12.05.20,286.0,318.0,143.0,95.0
13.05.20,307.0,350.0,130.0,120.0
14.05.20,243.0,335.0,119.0,109.0
15.05.20,272.0,244.0,107.0,92.0
16.05.20,189.0,152.0,60.0,61.0
17.05.20,156.0,110.0,35.0,14.0
18.05.20,250.0,190.0,62.0,46.0
19.05.20,267.0,268.0,92.0,102.0
20.05.20,326.0,311.0,129.0,67.0
21.05.20,177.0,147.0,49.0,45.0
22.05.20,217.0,182.0,73.0,54.0
23.05.20,122.0,114.0,62.0,40.0
24.05.20,93.0,75.0,29.0,28.0
25.05.20,156.0,149.0,65.0,44.0
26.05.20,242.0,239.0,93.0,43.0
