date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,,,,
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,,,,
18.03.20,,,,
19.03.20,,,,
20.03.20,,,,
21.03.20,,,,
22.03.20,,,,
23.03.20,,,,
24.03.20,,,,
25.03.20,,,,
26.03.20,,,,
27.03.20,,,,
28.03.20,,,,
29.03.20,,,,
30.03.20,,,,
31.03.20,,,,
01.04.20,,,,
02.04.20,,,,
03.04.20,,,,
04.04.20,47.0,493.0,735.0,342.0
05.04.20,6.0,38.0,54.0,28.0
06.04.20,-2.0,24.0,22.0,10.0
07.04.20,2.0,26.0,80.0,34.0
08.04.20,4.0,52.0,57.0,32.0
09.04.20,2.0,54.0,66.0,28.0
10.04.20,4.0,32.0,34.0,22.0
11.04.20,32.0,48.0,50.0,36.0
12.04.20,,,,
13.04.20,,,,
14.04.20,,,,
15.04.20,4.0,10.0,24.0,12.0
16.04.20,4.0,20.0,12.0,10.0
17.04.20,0.0,10.0,16.0,4.0
18.04.20,0.0,14.0,8.0,2.0
19.04.20,,,,
20.04.20,,,,
21.04.20,2.0,9.0,8.0,0.0
22.04.20,-2.0,13.0,6.0,8.0
23.04.20,4.0,26.0,40.0,34.0
24.04.20,4.0,18.0,28.0,14.0
25.04.20,9.0,10.0,3.0,4.0
26.04.20,4.0,7.0,8.0,2.0
27.04.20,10.0,17.0,10.0,4.0
28.04.20,8.0,16.0,26.0,16.0
29.04.20,0.0,4.0,14.0,2.0
30.04.20,4.0,4.0,10.0,8.0
01.05.20,4.0,14.0,6.0,10.0
02.05.20,0.0,8.0,8.0,8.0
03.05.20,0.0,2.0,2.0,2.0
04.05.20,2.0,8.0,6.0,4.0
05.05.20,4.0,14.0,-2.0,6.0
06.05.20,0.0,20.0,20.0,8.0
07.05.20,0.0,4.0,16.0,10.0
08.05.20,2.0,8.0,12.0,6.0
09.05.20,0.0,4.0,14.0,18.0
10.05.20,0.0,4.0,4.0,4.0
11.05.20,-2.0,-2.0,10.0,10.0
12.05.20,4.0,20.0,6.0,8.0
13.05.20,8.0,14.0,10.0,2.0
14.05.20,0.0,8.0,4.0,2.0
15.05.20,24.0,12.0,16.0,0.0
16.05.20,2.0,2.0,12.0,6.0
17.05.20,14.0,18.0,18.0,4.0
18.05.20,0.0,0.0,4.0,4.0
19.05.20,0.0,6.0,2.0,0.0
20.05.20,8.0,8.0,2.0,0.0
21.05.20,20.0,0.0,2.0,2.0
22.05.20,16.0,24.0,2.0,0.0
23.05.20,0.0,4.0,0.0,2.0
24.05.20,1.0,2.0,3.0,0.0
25.05.20,0.0,0.0,4.0,4.0
26.05.20,4.0,0.0,8.0,4.0
27.05.20,8.0,20.0,6.0,-6.0
28.05.20,0.0,0.0,4.0,2.0
29.05.20,0.0,0.0,6.0,0.0
30.05.20,2.0,2.0,4.0,2.0
31.05.20,0.0,0.0,2.0,0.0
01.06.20,-2.0,2.0,0.0,0.0
02.06.20,0.0,2.0,10.0,2.0
03.06.20,,,,
04.06.20,,,,
05.06.20,,,,
06.06.20,,,,
07.06.20,,,,
08.06.20,,,,
09.06.20,4.0,26.0,34.0,8.0
10.06.20,4.0,4.0,11.0,0.0
11.06.20,2.0,16.0,15.0,8.0
12.06.20,2.0,12.0,16.0,8.0
13.06.20,0.0,4.0,2.0,2.0
14.06.20,2.0,4.0,4.0,6.0
15.06.20,4.0,6.0,18.0,0.0
16.06.20,0.0,2.0,10.0,16.0
17.06.20,6.0,36.0,48.0,14.0
18.06.20,2.0,14.0,12.0,20.0
19.06.20,2.0,10.0,12.0,2.0
20.06.20,2.0,6.0,16.0,2.0
21.06.20,2.0,4.0,4.0,4.0
22.06.20,4.0,10.0,12.0,6.0
23.06.20,4.0,12.0,10.0,4.0
24.06.20,0.0,6.0,6.0,4.0
25.06.20,0.0,0.0,16.0,2.0
26.06.20,6.0,12.0,14.0,8.0
27.06.20,6.0,8.0,18.0,4.0
28.06.20,4.0,2.0,12.0,2.0
29.06.20,8.0,12.0,2.0,6.0
30.06.20,0.0,14.0,12.0,4.0
01.07.20,4.0,14.0,18.0,6.0
02.07.20,0.0,16.0,22.0,8.0
03.07.20,0.0,14.0,8.0,16.0
04.07.20,6.0,14.0,7.0,8.0
05.07.20,2.0,8.0,2.0,0.0
06.07.20,6.0,22.0,38.0,16.0
07.07.20,2.0,20.0,24.0,4.0
08.07.20,6.0,10.0,22.0,6.0
