age,PopTotal
0,80896
1,82112
2,83896
3,86145
4,86613
5,90742
6,94717
7,98449
8,101852
9,105092
10,108336
11,110223
12,110152
13,108804
14,107412
15,105682
16,104557
17,104616
18,105407
19,106023
20,106789
21,107071
22,106510
23,105547
24,104984
25,104662
26,105147
27,106802
28,109385
29,112018
30,114555
31,118470
32,124309
33,131257
34,138070
35,145132
36,150521
37,153190
38,154025
39,154981
40,155700
41,156341
42,157192
43,158110
44,158532
45,158423
46,158661
47,159579
48,160746
49,161627
50,162602
51,161924
52,158755
53,154035
54,149353
55,144168
56,140444
57,139250
58,139559
59,139484
60,139652
61,138317
62,134498
63,129192
64,124092
65,118518
66,114738
67,113937
68,114850
69,115422
70,116546
71,115006
72,109152
73,100751
74,92807
75,84219
76,78781
77,78525
78,81402
79,83473
80,85696
81,85691
82,81935
83,75676
84,69852
85,64072
86,57800
87,51126
88,44263
89,36601
90,29980
91,25429
92,20238
93,14375
94,10243
95,8311
96,6735
97,4911
98,2838
99,1660
100,2495
