date,new_deaths
02.03.20,18.0
03.03.20,27.0
04.03.20,28.0
05.03.20,41.0
06.03.20,49.0
07.03.20,36.0
08.03.20,133.0
09.03.20,97.0
10.03.20,168.0
11.03.20,196.0
12.03.20,189.0
13.03.20,250.0
14.03.20,175.0
15.03.20,368.0
16.03.20,349.0
17.03.20,345.0
18.03.20,475.0
19.03.20,427.0
20.03.20,627.0
21.03.20,793.0
22.03.20,651.0
23.03.20,601.0
24.03.20,743.0
25.03.20,683.0
26.03.20,712.0
27.03.20,919.0
28.03.20,889.0
29.03.20,756.0
30.03.20,812.0
31.03.20,837.0
01.04.20,727.0
02.04.20,760.0
03.04.20,766.0
04.04.20,681.0
05.04.20,525.0
06.04.20,636.0
07.04.20,604.0
08.04.20,542.0
09.04.20,610.0
10.04.20,570.0
11.04.20,619.0
12.04.20,431.0
13.04.20,566.0
14.04.20,602.0
15.04.20,578.0
16.04.20,525.0
17.04.20,575.0
18.04.20,482.0
19.04.20,433.0
20.04.20,454.0
21.04.20,534.0
22.04.20,437.0
23.04.20,464.0
24.04.20,420.0
25.04.20,415.0
26.04.20,260.0
27.04.20,333.0
28.04.20,382.0
29.04.20,323.0
30.04.20,285.0
01.05.20,269.0
02.05.20,474.0
03.05.20,174.0
04.05.20,195.0
05.05.20,236.0
06.05.20,369.0
07.05.20,274.0
08.05.20,243.0
09.05.20,194.0
10.05.20,165.0
11.05.20,179.0
12.05.20,172.0
13.05.20,195.0
14.05.20,262.0
15.05.20,242.0
16.05.20,153.0
17.05.20,145.0
18.05.20,99.0
19.05.20,162.0
20.05.20,161.0
21.05.20,156.0
22.05.20,130.0
23.05.20,119.0
24.05.20,50.0
25.05.20,92.0
26.05.20,78.0
27.05.20,117.0
28.05.20,70.0
29.05.20,87.0
30.05.20,111.0
31.05.20,75.0
01.06.20,60.0
02.06.20,55.0
03.06.20,71.0
04.06.20,88.0
05.06.20,85.0
06.06.20,72.0
07.06.20,53.0
08.06.20,65.0
09.06.20,79.0
10.06.20,71.0
11.06.20,53.0
12.06.20,56.0
13.06.20,78.0
14.06.20,44.0
15.06.20,26.0
16.06.20,34.0
17.06.20,43.0
18.06.20,66.0
19.06.20,47.0
20.06.20,49.0
21.06.20,24.0
22.06.20,23.0
23.06.20,18.0
24.06.20,-31.0
25.06.20,34.0
26.06.20,30.0
27.06.20,8.0
28.06.20,22.0
29.06.20,6.0
30.06.20,23.0
01.07.20,21.0
02.07.20,30.0
03.07.20,15.0
04.07.20,21.0
05.07.20,7.0
06.07.20,8.0
07.07.20,30.0
08.07.20,15.0
09.07.20,12.0
10.07.20,12.0
11.07.20,7.0
12.07.20,9.0
13.07.20,13.0
14.07.20,17.0
15.07.20,13.0
16.07.20,20.0
17.07.20,11.0
18.07.20,14.0
19.07.20,3.0
20.07.20,13.0
21.07.20,15.0
22.07.20,9.0
23.07.20,10.0
24.07.20,5.0
25.07.20,5.0
26.07.20,5.0
27.07.20,5.0
28.07.20,11.0
29.07.20,6.0
30.07.20,3.0
31.07.20,9.0
01.08.20,5.0
02.08.20,8.0
03.08.20,12.0
04.08.20,5.0
05.08.20,10.0
06.08.20,6.0
07.08.20,3.0
08.08.20,13.0
09.08.20,2.0
10.08.20,4.0
11.08.20,6.0
12.08.20,10.0
13.08.20,6.0
14.08.20,3.0
15.08.20,158.0
