age,PopTotal
0,438876
1,460023
2,479113
3,496228
4,508304
5,522573
6,535055
7,545813
8,554906
9,562684
10,569498
11,573962
12,575560
13,575219
14,574574
15,573526
16,572940
17,573489
18,575039
19,576525
20,577845
21,581605
22,588894
23,598549
24,608428
25,619093
26,628869
27,636748
28,643587
29,651608
30,660795
31,669660
32,677824
33,686133
34,695495
35,705341
36,719171
37,738699
38,762248
39,785376
40,807711
41,833262
42,863169
43,894920
44,925253
45,955288
46,977490
47,987919
48,989853
49,990299
50,987600
51,983717
52,980248
53,975778
54,968478
55,960146
56,944168
57,917533
58,884231
59,851266
60,817245
61,787880
62,766731
63,751432
64,734610
65,716003
66,704055
67,701670
68,704503
69,706997
70,712310
71,704699
72,676419
73,635473
74,595952
75,553056
76,522103
77,511501
78,512896
79,510636
80,509195
81,496433
82,465163
83,422038
84,381103
85,339799
86,301028
87,267732
88,238293
89,205757
90,179295
91,156787
92,129057
93,96252
94,73363
95,63538
96,52768
97,38689
98,21305
99,12140
100,15968
