date,new_deaths
02.03.20,0.0
03.03.20,0.0
04.03.20,0.0
05.03.20,0.0
06.03.20,1.0
07.03.20,0.0
08.03.20,2.0
09.03.20,0.0
10.03.20,1.0
11.03.20,1.0
12.03.20,0.0
13.03.20,5.0
14.03.20,2.0
15.03.20,8.0
16.03.20,4.0
17.03.20,19.0
18.03.20,15.0
19.03.20,19.0
20.03.20,30.0
21.03.20,30.0
22.03.20,43.0
23.03.20,34.0
24.03.20,63.0
25.03.20,80.0
26.03.20,78.0
27.03.20,112.0
28.03.20,93.0
29.03.20,132.0
30.03.20,93.0
31.03.20,175.0
01.04.20,135.0
02.04.20,166.0
03.04.20,149.0
04.04.20,166.0
05.04.20,115.0
06.04.20,103.0
07.04.20,234.0
08.04.20,147.0
09.04.20,148.0
10.04.20,117.0
11.04.20,133.0
12.04.20,94.0
13.04.20,86.0
14.04.20,122.0
15.04.20,190.0
16.04.20,182.0
17.04.20,144.0
18.04.20,142.0
19.04.20,84.0
20.04.20,67.0
21.04.20,165.0
22.04.20,139.0
23.04.20,124.0
24.04.20,112.0
25.04.20,120.0
26.04.20,67.0
27.04.20,43.0
28.04.20,48.0
29.04.20,145.0
30.04.20,84.0
01.05.20,98.0
02.05.20,94.0
03.05.20,69.0
04.05.20,26.0
05.05.20,87.0
06.05.20,36.0
07.05.20,85.0
08.05.20,71.0
09.05.20,64.0
10.05.20,18.0
11.05.20,16.0
12.05.20,54.0
13.05.20,52.0
14.05.20,28.0
15.05.20,53.0
16.05.20,27.0
17.05.20,10.0
18.05.20,14.0
19.05.20,21.0
20.05.20,33.0
21.05.20,27.0
22.05.20,13.0
23.05.20,23.0
24.05.20,11.0
25.05.20,8.0
26.05.20,26.0
27.05.20,15.0
28.05.20,32.0
29.05.20,28.0
30.05.20,20.0
31.05.20,5.0
01.06.20,6.0
02.06.20,5.0
03.06.20,10.0
04.06.20,13.0
05.06.20,15.0
06.06.20,6.0
07.06.20,2.0
08.06.20,3.0
09.06.20,15.0
10.06.20,11.0
11.06.20,2.0
12.06.20,9.0
13.06.20,4.0
14.06.20,2.0
15.06.20,6.0
16.06.20,5.0
17.06.20,4.0
18.06.20,4.0
19.06.20,3.0
20.06.20,8.0
21.06.20,1.0
22.06.20,0.0
23.06.20,5.0
24.06.20,2.0
25.06.20,3.0
26.06.20,3.0
27.06.20,2.0
28.06.20,0.0
29.06.20,2.0
30.06.20,6.0
01.07.20,2.0
02.07.20,3.0
03.07.20,2.0
04.07.20,6.0
05.07.20,1.0
06.07.20,1.0
07.07.20,4.0
08.07.20,3.0
09.07.20,2.0
10.07.20,-1.0
11.07.20,1.0
12.07.20,0.0
13.07.20,0.0
14.07.20,-2.0
15.07.20,1.0
16.07.20,1.0
17.07.20,1.0
18.07.20,-2.0
19.07.20,0.0
20.07.20,0.0
21.07.20,0.0
22.07.20,3.0
23.07.20,0.0
24.07.20,0.0
25.07.20,1.0
26.07.20,19.0
27.07.20,-18.0
28.07.20,4.0
29.07.20,2.0
30.07.20,0.0
31.07.20,0.0
01.08.20,1.0
02.08.20,2.0
03.08.20,0.0
04.08.20,1.0
05.08.20,3.0
06.08.20,0.0
07.08.20,1.0
08.08.20,4.0
09.08.20,0.0
10.08.20,0.0
11.08.20,-16.0
12.08.20,20.0
13.08.20,5.0
14.08.20,2.0
15.08.20,2.0
