age,PopTotal
0,169625
1,170917
2,172271
3,173695
4,176799
5,177468
6,178414
7,179637
8,181132
9,182731
10,184259
11,186569
12,190004
13,194047
14,198046
15,202373
16,205157
17,205474
18,204275
19,203263
20,201893
21,201854
22,204094
23,207696
24,210795
25,213760
26,215958
27,216886
28,216874
29,216912
30,216992
31,216138
32,214025
33,211132
34,208451
35,206002
36,203642
37,201468
38,199725
39,198280
40,196834
41,197839
42,202403
43,209330
44,216105
45,222968
46,229827
47,236295
48,242264
49,248094
50,253804
51,257642
52,258799
53,257942
54,256724
55,255020
56,252141
57,247975
58,242882
59,237440
60,231658
61,225954
62,220635
63,215670
64,210184
65,203709
66,199614
67,199282
68,200900
69,201875
70,203457
71,200037
72,188800
73,172632
74,157097
75,140908
76,127294
77,118367
78,112473
79,105836
80,99187
81,92479
82,85304
83,77907
84,71032
85,64636
86,58056
87,51068
88,43968
89,36615
90,30557
91,26238
92,21323
93,15790
94,11985
95,10286
96,8524
97,6303
98,3627
99,2004
100,2778
