date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,0.0,4.0,0.0,0.0
04.03.20,0.0,4.0,2.0,0.0
05.03.20,0.0,6.0,2.0,0.0
06.03.20,8.0,6.0,2.0,0.0
07.03.20,6.0,8.0,4.0,0.0
08.03.20,2.0,14.0,2.0,0.0
09.03.20,0.0,0.0,4.0,0.0
10.03.20,16.0,12.0,4.0,4.0
11.03.20,8.0,28.0,2.0,0.0
12.03.20,14.0,44.0,10.0,0.0
13.03.20,24.0,76.0,12.0,2.0
14.03.20,30.0,94.0,24.0,4.0
15.03.20,28.0,68.0,60.0,14.0
16.03.20,44.0,138.0,44.0,10.0
17.03.20,98.0,186.0,78.0,26.0
18.03.20,38.0,174.0,58.0,16.0
19.03.20,60.0,246.0,134.0,28.0
20.03.20,72.0,266.0,142.0,42.0
21.03.20,86.0,388.0,122.0,44.0
22.03.20,128.0,456.0,240.0,96.0
23.03.20,74.0,306.0,174.0,50.0
24.03.20,182.0,622.0,278.0,184.0
25.03.20,168.0,620.0,202.0,108.0
26.03.20,86.0,762.0,454.0,138.0
27.03.20,222.0,934.0,436.0,220.0
28.03.20,186.0,796.0,430.0,172.0
29.03.20,134.0,386.0,216.0,156.0
30.03.20,352.0,1038.0,434.0,246.0
31.03.20,202.0,744.0,360.0,310.0
01.04.20,192.0,786.0,306.0,282.0
02.04.20,288.0,954.0,302.0,160.0
03.04.20,220.0,634.0,250.0,172.0
04.04.20,266.0,718.0,310.0,214.0
05.04.20,114.0,396.0,174.0,220.0
06.04.20,210.0,626.0,272.0,316.0
07.04.20,198.0,766.0,326.0,108.0
08.04.20,246.0,594.0,256.0,534.0
09.04.20,504.0,1418.0,602.0,508.0
10.04.20,132.0,406.0,210.0,282.0
11.04.20,210.0,490.0,240.0,256.0
12.04.20,116.0,272.0,162.0,148.0
13.04.20,158.0,418.0,246.0,206.0
14.04.20,222.0,616.0,242.0,206.0
15.04.20,256.0,814.0,238.0,192.0
16.04.20,44.0,162.0,76.0,80.0
17.04.20,222.0,620.0,240.0,244.0
18.04.20,194.0,506.0,156.0,186.0
19.04.20,420.0,594.0,220.0,80.0
