date,new_deaths
02.03.20,0.0
03.03.20,0.0
04.03.20,0.0
05.03.20,0.0
06.03.20,0.0
07.03.20,0.0
08.03.20,0.0
09.03.20,0.0
10.03.20,0.0
11.03.20,0.0
12.03.20,0.0
13.03.20,0.0
14.03.20,0.0
15.03.20,0.0
16.03.20,0.0
17.03.20,0.0
18.03.20,0.0
19.03.20,0.0
20.03.20,0.0
21.03.20,0.0
22.03.20,3.0
23.03.20,4.0
24.03.20,4.0
25.03.20,6.0
26.03.20,6.0
27.03.20,3.0
28.03.20,11.0
29.03.20,6.0
30.03.20,22.0
31.03.20,17.0
01.04.20,10.0
02.04.20,23.0
03.04.20,18.0
04.04.20,13.0
05.04.20,5.0
06.04.20,25.0
07.04.20,21.0
08.04.20,23.0
09.04.20,28.0
10.04.20,22.0
11.04.20,21.0
12.04.20,25.0
13.04.20,15.0
14.04.20,20.0
15.04.20,21.0
16.04.20,20.0
17.04.20,19.0
18.04.20,10.0
19.04.20,30.0
20.04.20,27.0
21.04.20,20.0
22.04.20,26.0
23.04.20,21.0
24.04.20,22.0
25.04.20,34.0
26.04.20,18.0
27.04.20,22.0
28.04.20,22.0
29.04.20,30.0
30.04.20,24.0
01.05.20,27.0
02.05.20,27.0
03.05.20,19.0
04.05.20,28.0
05.05.20,23.0
06.05.20,23.0
07.05.20,24.0
08.05.20,35.0
09.05.20,16.0
10.05.20,22.0
11.05.20,21.0
12.05.20,20.0
13.05.20,34.0
14.05.20,17.0
15.05.20,17.0
16.05.20,24.0
17.05.20,13.0
18.05.20,13.0
19.05.20,17.0
20.05.20,10.0
21.05.20,9.0
22.05.20,10.0
23.05.20,10.0
24.05.20,9.0
25.05.20,20.0
26.05.20,11.0
27.05.20,11.0
28.05.20,8.0
29.05.20,13.0
30.05.20,11.0
31.05.20,7.0
01.06.20,10.0
02.06.20,12.0
03.06.20,8.0
04.06.20,9.0
05.06.20,11.0
06.06.20,6.0
07.06.20,11.0
08.06.20,6.0
09.06.20,15.0
10.06.20,6.0
11.06.20,9.0
12.06.20,11.0
13.06.20,14.0
14.06.20,16.0
15.06.20,17.0
16.06.20,10.0
17.06.20,14.0
18.06.20,22.0
19.06.20,11.0
20.06.20,16.0
21.06.20,12.0
22.06.20,11.0
23.06.20,16.0
24.06.20,16.0
25.06.20,10.0
26.06.20,14.0
27.06.20,10.0
28.06.20,23.0
29.06.20,22.0
30.06.20,17.0
01.07.20,16.0
02.07.20,20.0
03.07.20,21.0
04.07.20,23.0
05.07.20,19.0
06.07.20,18.0
07.07.20,31.0
08.07.20,18.0
09.07.20,17.0
10.07.20,13.0
11.07.20,24.0
12.07.20,13.0
13.07.20,17.0
14.07.20,30.0
15.07.20,21.0
16.07.20,19.0
17.07.20,17.0
18.07.20,21.0
19.07.20,17.0
20.07.20,12.0
21.07.20,36.0
22.07.20,27.0
23.07.20,25.0
24.07.20,24.0
25.07.20,15.0
26.07.20,22.0
27.07.20,19.0
28.07.20,33.0
29.07.20,30.0
30.07.20,35.0
31.07.20,39.0
01.08.20,36.0
02.08.20,34.0
03.08.20,19.0
04.08.20,48.0
05.08.20,41.0
06.08.20,45.0
07.08.20,50.0
08.08.20,43.0
09.08.20,41.0
10.08.20,29.0
11.08.20,35.0
12.08.20,43.0
13.08.20,53.0
14.08.20,44.0
15.08.20,50.0
