date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,,,,
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,,,,
18.03.20,6.0,34.0,3.0,0.0
19.03.20,2.0,14.0,1.0,0.0
20.03.20,7.0,18.0,5.0,1.0
21.03.20,15.0,34.0,10.0,0.0
22.03.20,15.0,44.0,7.0,0.0
23.03.20,17.0,100.0,26.0,0.0
24.03.20,14.0,116.0,29.0,2.0
25.03.20,17.0,81.0,46.0,0.0
26.03.20,9.0,76.0,32.0,6.0
27.03.20,26.0,185.0,42.0,4.0
28.03.20,16.0,69.0,34.0,2.0
29.03.20,31.0,171.0,60.0,10.0
30.03.20,25.0,112.0,41.0,4.0
31.03.20,0.0,0.0,0.0,0.0
01.04.20,0.0,0.0,0.0,0.0
02.04.20,0.0,0.0,0.0,0.0
03.04.20,0.0,0.0,0.0,0.0
04.04.20,0.0,0.0,0.0,0.0
05.04.20,207.0,1208.0,379.0,67.0
06.04.20,42.0,132.0,40.0,16.0
07.04.20,73.0,271.0,80.0,5.0
08.04.20,43.0,199.0,79.0,27.0
09.04.20,72.0,249.0,105.0,18.0
10.04.20,40.0,184.0,56.0,9.0
11.04.20,77.0,289.0,131.0,18.0
12.04.20,39.0,173.0,70.0,26.0
13.04.20,88.0,163.0,28.0,14.0
14.04.20,42.0,135.0,61.0,17.0
15.04.20,60.0,192.0,79.0,42.0
16.04.20,,,,
17.04.20,,,,
18.04.20,,,,
19.04.20,,,,
20.04.20,,,,
21.04.20,,,,
22.04.20,,,,
23.04.20,,,,
24.04.20,,,,
25.04.20,,,,
26.04.20,,,,
27.04.20,,,,
28.04.20,,,,
29.04.20,,,,
30.04.20,,,,
01.05.20,,,,
02.05.20,,,,
03.05.20,,,,
04.05.20,,,,
05.05.20,,,,
06.05.20,,,,
07.05.20,,,,
08.05.20,,,,
09.05.20,,,,
10.05.20,,,,
11.05.20,,,,
12.05.20,,,,
13.05.20,,,,
14.05.20,,,,
15.05.20,,,,
16.05.20,,,,
17.05.20,,,,
18.05.20,,,,
19.05.20,,,,
20.05.20,,,,
21.05.20,,,,
22.05.20,,,,
23.05.20,,,,
24.05.20,,,,
25.05.20,,,,
26.05.20,,,,
27.05.20,,,,
28.05.20,,,,
29.05.20,,,,
30.05.20,,,,
31.05.20,,,,
01.06.20,,,,
02.06.20,,,,
03.06.20,,,,
04.06.20,,,,
05.06.20,,,,
06.06.20,,,,
07.06.20,,,,
08.06.20,,,,
09.06.20,,,,
10.06.20,,,,
11.06.20,,,,
12.06.20,,,,
13.06.20,,,,
14.06.20,,,,
15.06.20,,,,
16.06.20,,,,
17.06.20,,,,
18.06.20,,,,
19.06.20,,,,
20.06.20,,,,
21.06.20,,,,
22.06.20,,,,
23.06.20,,,,
24.06.20,,,,
25.06.20,,,,
26.06.20,,,,
27.06.20,,,,
28.06.20,,,,
29.06.20,,,,
30.06.20,,,,
01.07.20,,,,
02.07.20,,,,
03.07.20,,,,
04.07.20,,,,
05.07.20,,,,
06.07.20,,,,
07.07.20,,,,
08.07.20,,,,
09.07.20,,,,
10.07.20,,,,
11.07.20,,,,
12.07.20,,,,
13.07.20,,,,
14.07.20,,,,
15.07.20,,,,
16.07.20,,,,
17.07.20,,,,
18.07.20,,,,
19.07.20,,,,
20.07.20,,,,
21.07.20,,,,
22.07.20,,,,
23.07.20,,,,
24.07.20,,,,
25.07.20,,,,
26.07.20,,,,
27.07.20,,,,
28.07.20,,,,
29.07.20,,,,
30.07.20,,,,
31.07.20,,,,
01.08.20,,,,
02.08.20,,,,
03.08.20,,,,
04.08.20,,,,
05.08.20,,,,
06.08.20,,,,
07.08.20,,,,
08.08.20,,,,
09.08.20,,,,
10.08.20,,,,
11.08.20,,,,
12.08.20,,,,
13.08.20,,,,
14.08.20,,,,
15.08.20,,,,
