age,PopTotal
0,195769
1,190190
2,187130
3,186230
4,180891
5,187295
6,193789
7,200097
8,205940
9,211802
10,218164
11,220952
12,218368
13,212415
14,206797
15,200664
16,196612
17,196269
18,198397
19,200445
20,203308
21,205403
22,205810
23,205680
24,205837
25,204625
26,209766
27,224704
28,245072
29,264772
30,287077
31,297554
32,289062
33,269211
34,251322
35,231017
36,222755
37,234530
38,258628
39,279984
40,302375
41,317169
42,318798
43,312036
44,306341
45,298762
46,295477
47,300167
48,308905
49,316070
50,325175
51,322486
52,301371
53,269568
54,239799
55,207543
56,190106
57,196753
58,218560
59,237362
60,256815
61,270561
62,273607
63,269318
64,266485
65,263876
66,257767
67,247354
68,233902
69,219932
70,205477
71,190514
72,175462
73,160785
74,145752
75,129572
76,118816
77,116384
78,119042
79,121111
80,124261
81,122797
82,113482
83,99223
84,86214
85,73276
86,61623
87,52508
88,45178
89,36809
90,29752
91,24818
92,19357
93,13357
94,9093
95,7188
96,5744
97,4022
98,2020
99,1009
100,1125
