date,new_deaths
02.03.20,0.0
03.03.20,1.0
04.03.20,1.0
05.03.20,1.0
06.03.20,2.0
07.03.20,5.0
08.03.20,7.0
09.03.20,11.0
10.03.20,7.0
11.03.20,19.0
12.03.20,1.0
13.03.20,78.0
14.03.20,62.0
15.03.20,94.0
16.03.20,53.0
17.03.20,191.0
18.03.20,90.0
19.03.20,207.0
20.03.20,213.0
21.03.20,332.0
22.03.20,397.0
23.03.20,539.0
24.03.20,497.0
25.03.20,839.0
26.03.20,718.0
27.03.20,773.0
28.03.20,844.0
29.03.20,821.0
30.03.20,913.0
31.03.20,748.0
01.04.20,923.0
02.04.20,961.0
03.04.20,850.0
04.04.20,749.0
05.04.20,694.0
06.04.20,700.0
07.04.20,704.0
08.04.20,747.0
09.04.20,655.0
10.04.20,634.0
11.04.20,525.0
12.04.20,603.0
13.04.20,547.0
14.04.20,300.0
15.04.20,652.0
16.04.20,607.0
17.04.20,687.0
18.04.20,41.0
19.04.20,410.0
20.04.20,399.0
21.04.20,430.0
22.04.20,435.0
23.04.20,440.0
24.04.20,367.0
25.04.20,378.0
26.04.20,288.0
27.04.20,331.0
28.04.20,301.0
29.04.20,453.0
30.04.20,268.0
01.05.20,0.0
02.05.20,557.0
03.05.20,164.0
04.05.20,164.0
05.05.20,185.0
06.05.20,244.0
07.05.20,213.0
08.05.20,229.0
09.05.20,179.0
10.05.20,143.0
11.05.20,123.0
12.05.20,176.0
13.05.20,184.0
14.05.20,217.0
15.05.20,138.0
16.05.20,104.0
17.05.20,0.0
18.05.20,146.0
19.05.20,69.0
20.05.20,110.0
21.05.20,52.0
22.05.20,688.0
23.05.20,50.0
24.05.20,74.0
25.05.20,-1918.0
26.05.20,283.0
27.05.20,0.0
28.05.20,2.0
29.05.20,2.0
30.05.20,4.0
31.05.20,2.0
01.06.20,0.0
02.06.20,0.0
03.06.20,1.0
04.06.20,5.0
05.06.20,1.0
06.06.20,1.0
07.06.20,1.0
08.06.20,0.0
09.06.20,0.0
10.06.20,0.0
11.06.20,0.0
12.06.20,0.0
13.06.20,0.0
14.06.20,0.0
15.06.20,0.0
16.06.20,0.0
17.06.20,0.0
18.06.20,0.0
19.06.20,1179.0
20.06.20,7.0
21.06.20,1.0
22.06.20,1.0
23.06.20,1.0
24.06.20,2.0
25.06.20,3.0
26.06.20,8.0
27.06.20,3.0
28.06.20,2.0
29.06.20,3.0
30.06.20,9.0
01.07.20,9.0
02.07.20,4.0
03.07.20,17.0
04.07.20,0.0
05.07.20,0.0
06.07.20,3.0
07.07.20,4.0
08.07.20,4.0
09.07.20,5.0
10.07.20,2.0
11.07.20,0.0
12.07.20,0.0
13.07.20,3.0
14.07.20,3.0
15.07.20,4.0
16.07.20,3.0
17.07.20,4.0
18.07.20,0.0
19.07.20,0.0
20.07.20,2.0
21.07.20,2.0
22.07.20,2.0
23.07.20,3.0
24.07.20,3.0
25.07.20,0.0
26.07.20,0.0
27.07.20,2.0
28.07.20,2.0
29.07.20,5.0
30.07.20,2.0
31.07.20,2.0
01.08.20,0.0
02.08.20,0.0
03.08.20,27.0
04.08.20,26.0
05.08.20,1.0
06.08.20,1.0
07.08.20,3.0
08.08.20,0.0
09.08.20,0.0
10.08.20,73.0
11.08.20,5.0
12.08.20,-2.0
13.08.20,26.0
14.08.20,12.0
15.08.20,0.0
