date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,,,,
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,,,,
18.03.20,,,,
19.03.20,,,,
20.03.20,,,,
21.03.20,,,,
22.03.20,1633.0,8245.0,6026.0,
23.03.20,146.0,1510.0,889.0,
24.03.20,152.0,1163.0,948.0,530.0
25.03.20,1249.0,9320.0,7633.0,3698.0
26.03.20,190.0,1198.0,958.0,520.0
27.03.20,174.0,1804.0,1301.0,634.0
28.03.20,1552.0,12567.0,10016.0,3918.0
29.03.20,187.0,1341.0,915.0,333.0
30.03.20,364.0,3105.0,2644.0,1610.0
31.03.20,56.0,429.0,531.0,240.0
01.04.20,1209.0,11312.0,8129.0,5477.0
02.04.20,166.0,1232.0,1071.0,552.0
03.04.20,0.0,0.0,0.0,0.0
04.04.20,1978.0,15353.0,11015.0,5362.0
05.04.20,44.0,678.0,335.0,239.0
06.04.20,-61.0,-65.0,-3.0,43.0
07.04.20,1226.0,10271.0,7994.0,5112.0
08.04.20,602.0,4805.0,2884.0,3704.0
09.04.20,206.0,2083.0,1438.0,1651.0
10.04.20,166.0,819.0,692.0,676.0
11.04.20,1480.0,8131.0,5456.0,4296.0
12.04.20,,,,
13.04.20,,,,
14.04.20,328.0,2135.0,1238.0,1179.0
15.04.20,1128.0,6979.0,4716.0,7712.0
16.04.20,235.0,1913.0,1458.0,1815.0
17.04.20,192.0,948.0,500.0,687.0
18.04.20,168.0,895.0,476.0,431.0
19.04.20,1158.0,6328.0,3616.0,3742.0
20.04.20,71.0,324.0,198.0,256.0
21.04.20,251.0,1631.0,1085.0,1692.0
22.04.20,753.0,4076.0,1729.0,2391.0
23.04.20,50.0,286.0,130.0,124.0
24.04.20,5906.0,32188.0,23237.0,22472.0
25.04.20,84.0,453.0,248.0,275.0
26.04.20,1252.0,7963.0,4204.0,5602.0
27.04.20,52.0,4.0,-132.0,155.0
28.04.20,94.0,319.0,93.0,-66.0
29.04.20,882.0,5101.0,1904.0,2756.0
30.04.20,134.0,897.0,586.0,788.0
01.05.20,182.0,874.0,432.0,278.0
02.05.20,590.0,2670.0,1272.0,1626.0
03.05.20,252.0,1391.0,596.0,320.0
04.05.20,-34.0,-436.0,-302.0,-410.0
05.05.20,164.0,906.0,476.0,690.0
06.05.20,696.0,3161.0,1298.0,983.0
07.05.20,0.0,-196.0,-136.0,194.0
08.05.20,0.0,0.0,0.0,0.0
09.05.20,1541.0,9366.0,4945.0,7590.0
10.05.20,434.0,2368.0,1070.0,1838.0
11.05.20,562.0,3091.0,954.0,284.0
12.05.20,12.0,34.0,20.0,8.0
13.05.20,340.0,1887.0,525.0,570.0
14.05.20,33.0,110.0,62.0,29.0
15.05.20,26.0,-459.0,-53.0,83.0
16.05.20,0.0,0.0,0.0,0.0
17.05.20,0.0,0.0,0.0,0.0
18.05.20,,,,
19.05.20,,,,
20.05.20,,,,
21.05.20,,,,
22.05.20,,,,
23.05.20,,,,
24.05.20,,,,
25.05.20,,,,
26.05.20,,,,
27.05.20,,,,
28.05.20,,,,
29.05.20,,,,
30.05.20,,,,
31.05.20,,,,
01.06.20,,,,
02.06.20,,,,
03.06.20,,,,
04.06.20,,,,
05.06.20,,,,
06.06.20,,,,
07.06.20,,,,
08.06.20,,,,
09.06.20,,,,
10.06.20,,,,
11.06.20,,,,
12.06.20,,,,
13.06.20,,,,
14.06.20,,,,
15.06.20,,,,
16.06.20,,,,
17.06.20,,,,
18.06.20,,,,
19.06.20,,,,
20.06.20,,,,
21.06.20,,,,
22.06.20,,,,
23.06.20,,,,
24.06.20,,,,
25.06.20,,,,
26.06.20,,,,
27.06.20,,,,
28.06.20,,,,
29.06.20,,,,
30.06.20,,,,
01.07.20,,,,
02.07.20,,,,
03.07.20,,,,
04.07.20,,,,
05.07.20,,,,
06.07.20,,,,
07.07.20,,,,
08.07.20,,,,
09.07.20,,,,
10.07.20,,,,
11.07.20,,,,
12.07.20,,,,
13.07.20,,,,
14.07.20,,,,
15.07.20,,,,
16.07.20,,,,
17.07.20,,,,
18.07.20,,,,
19.07.20,,,,
20.07.20,,,,
21.07.20,,,,
22.07.20,,,,
23.07.20,,,,
24.07.20,,,,
25.07.20,,,,
26.07.20,,,,
27.07.20,,,,
28.07.20,,,,
29.07.20,,,,
30.07.20,,,,
31.07.20,,,,
01.08.20,,,,
02.08.20,,,,
03.08.20,,,,
04.08.20,,,,
05.08.20,,,,
06.08.20,,,,
07.08.20,,,,
08.08.20,,,,
09.08.20,,,,
10.08.20,,,,
11.08.20,,,,
12.08.20,,,,
13.08.20,,,,
14.08.20,,,,
15.08.20,,,,
