age,PopTotal
0,389070
1,395760
2,404555
3,414953
4,411842
5,432086
6,450616
7,467032
8,480928
9,493573
10,506233
11,510163
12,501625
13,485224
14,469003
15,450996
16,438621
17,436275
18,440530
19,443668
20,447359
21,450865
22,453090
23,454935
24,458810
25,464718
26,470848
27,476696
28,483276
29,491535
30,500604
31,515443
32,538403
33,566972
34,594959
35,622001
36,652353
37,686993
38,723041
39,757510
40,792033
41,815052
42,820836
43,814643
44,807993
45,799212
46,788640
47,777807
48,766575
49,752713
50,736006
51,722714
52,715523
53,711721
54,706221
55,700411
56,690511
57,674241
58,653635
59,633659
60,614107
61,592701
62,569064
63,544536
64,519985
65,494200
66,475070
67,466281
68,463940
69,460575
70,457809
71,451462
72,438746
73,421694
74,405814
75,390815
76,372986
77,351294
78,327555
79,303574
80,277747
81,258748
82,250683
83,249083
84,246213
85,244625
86,235612
87,214375
88,185512
89,155765
90,131039
91,113392
92,91852
93,66359
94,48324
95,40084
96,32861
97,24229
98,14184
99,8251
100,12310
