date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,,,,
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,,,,
18.03.20,,,,
19.03.20,,,,
20.03.20,,,,
21.03.20,,,,
22.03.20,,,,
23.03.20,,,,
24.03.20,,,,
25.03.20,,,,
26.03.20,,,,
27.03.20,,,,
28.03.20,,,,
29.03.20,,,,
30.03.20,,,,
31.03.20,,,,
01.04.20,,,,
02.04.20,,,,
03.04.20,,,,
04.04.20,,,,
05.04.20,,,,
06.04.20,,,,
07.04.20,,,,
08.04.20,,,,
09.04.20,68.0,293.0,188.0,172.0
10.04.20,59.0,226.0,133.0,129.0
11.04.20,38.0,171.0,118.0,139.0
12.04.20,20.0,113.0,109.0,89.0
13.04.20,38.0,192.0,135.0,102.0
14.04.20,32.0,153.0,137.0,174.0
15.04.20,48.0,176.0,131.0,128.0
16.04.20,26.0,256.0,148.0,183.0
17.04.20,67.0,276.0,160.0,174.0
18.04.20,,,,
19.04.20,,,,
20.04.20,26.0,161.0,113.0,96.0
21.04.20,46.0,234.0,128.0,137.0
22.04.20,65.0,300.0,154.0,163.0
23.04.20,108.0,376.0,128.0,139.0
24.04.20,75.0,374.0,174.0,188.0
25.04.20,73.0,267.0,135.0,135.0
26.04.20,47.0,194.0,116.0,106.0
27.04.20,88.0,444.0,218.0,231.0
28.04.20,0.0,0.0,0.0,0.0
29.04.20,75.0,340.0,127.0,139.0
30.04.20,79.0,384.0,158.0,169.0
01.05.20,38.0,213.0,90.0,87.0
02.05.20,61.0,264.0,111.0,125.0
03.05.20,26.0,94.0,49.0,66.0
04.05.20,32.0,154.0,107.0,110.0
05.05.20,47.0,221.0,128.0,100.0
06.05.20,97.0,310.0,124.0,171.0
07.05.20,95.0,320.0,147.0,143.0
08.05.20,179.0,645.0,230.0,247.0
09.05.20,0.0,0.0,0.0,0.0
10.05.20,60.0,200.0,72.0,68.0
11.05.20,39.0,166.0,86.0,58.0
12.05.20,69.0,255.0,130.0,148.0
13.05.20,82.0,338.0,117.0,99.0
14.05.20,93.0,354.0,132.0,94.0
15.05.20,80.0,345.0,107.0,94.0
16.05.20,68.0,251.0,86.0,65.0
17.05.20,59.0,225.0,104.0,78.0
18.05.20,31.0,111.0,46.0,46.0
19.05.20,50.0,184.0,97.0,88.0
20.05.20,107.0,382.0,135.0,100.0
21.05.20,107.0,336.0,121.0,85.0
22.05.20,86.0,340.0,105.0,106.0
23.05.20,41.0,167.0,86.0,85.0
24.05.20,23.0,132.0,61.0,53.0
25.05.20,57.0,171.0,82.0,74.0
26.05.20,67.0,305.0,121.0,106.0
27.05.20,94.0,345.0,124.0,85.0
28.05.20,97.0,344.0,119.0,79.0
29.05.20,91.0,404.0,136.0,118.0
30.05.20,107.0,343.0,117.0,70.0
31.05.20,65.0,223.0,86.0,55.0
01.06.20,40.0,158.0,48.0,23.0
02.06.20,0.0,0.0,0.0,0.0
03.06.20,430.0,1948.0,422.0,186.0
04.06.20,175.0,633.0,182.0,89.0
05.06.20,195.0,613.0,159.0,90.0
06.06.20,,,,
07.06.20,,,,
08.06.20,424.0,1256.0,333.0,180.0
09.06.20,121.0,472.0,133.0,66.0
10.06.20,169.0,481.0,137.0,103.0
11.06.20,317.0,859.0,225.0,73.0
12.06.20,643.0,1423.0,391.0,185.0
13.06.20,160.0,390.0,97.0,35.0
14.06.20,176.0,456.0,107.0,30.0
15.06.20,222.0,491.0,155.0,74.0
16.06.20,332.0,708.0,145.0,52.0
17.06.20,415.0,806.0,195.0,64.0
18.06.20,0.0,0.0,0.0,0.0
19.06.20,0.0,0.0,0.0,0.0
20.06.20,,,,
21.06.20,,,,
22.06.20,1339.0,2605.0,625.0,226.0
23.06.20,0.0,0.0,0.0,0.0
24.06.20,,,,
25.06.20,,,,
26.06.20,425.0,641.0,135.0,46.0
27.06.20,,,,
28.06.20,,,,
29.06.20,,,,
30.06.20,249.0,414.0,93.0,28.0
01.07.20,405.0,670.0,130.0,36.0
02.07.20,308.0,514.0,100.0,23.0
03.07.20,247.0,398.0,87.0,48.0
04.07.20,,,,
05.07.20,,,,
06.07.20,,,,
07.07.20,80.0,134.0,42.0,27.0
08.07.20,159.0,277.0,61.0,18.0
09.07.20,142.0,261.0,53.0,19.0
10.07.20,179.0,308.0,59.0,19.0
11.07.20,,,,
12.07.20,,,,
13.07.20,,,,
14.07.20,55.0,88.0,24.0,8.0
