age,PopTotal
0,120927
1,120268
2,119783
3,119430
4,117259
5,118054
6,118621
7,118945
8,119007
9,118949
10,118914
11,118079
12,116104
13,113454
14,111164
15,109301
16,107417
17,105482
18,103895
19,102421
20,100301
21,102177
22,110081
23,121542
24,132382
25,143827
26,151130
27,151629
28,147639
29,144253
30,140593
31,137027
32,134299
33,132107
34,129437
35,126524
36,124140
37,122582
38,121695
39,120897
40,120140
41,120355
42,121891
43,124289
44,126630
45,128973
46,131188
47,133078
48,134599
49,136066
50,137606
51,137767
52,135916
53,132738
54,129548
55,126080
56,123037
57,120900
58,119345
59,117671
60,116152
61,114375
62,112109
63,109691
64,107290
65,104391
66,103560
67,105937
68,110090
69,113682
70,117459
71,118351
72,114682
73,107959
74,101488
75,94767
76,87914
77,81371
78,75058
79,68398
80,61443
81,55328
82,50545
83,46677
84,42826
85,39176
86,35583
87,31886
88,28198
89,24564
90,21849
91,19316
92,16072
93,12155
94,9402
95,8222
96,6897
97,5155
98,2995
99,1628
100,2186
