date,age_group_0,age_group_1,age_group_2,age_group_3
02.03.20,,,,
03.03.20,,,,
04.03.20,,,,
05.03.20,,,,
06.03.20,,,,
07.03.20,,,,
08.03.20,,,,
09.03.20,,,,
10.03.20,,,,
11.03.20,,,,
12.03.20,,,,
13.03.20,,,,
14.03.20,,,,
15.03.20,,,,
16.03.20,,,,
17.03.20,,,,
18.03.20,,,,
19.03.20,,,,
20.03.20,,,,
21.03.20,,,,
22.03.20,,,,
23.03.20,,,,
24.03.20,,,,
25.03.20,,,,
26.03.20,162.0,562.0,236.0,92.0
27.03.20,376.0,1396.0,702.0,408.0
28.03.20,278.0,984.0,522.0,270.0
29.03.20,276.0,1160.0,556.0,268.0
30.03.20,268.0,1074.0,592.0,332.0
31.03.20,184.0,618.0,344.0,260.0
01.04.20,268.0,880.0,450.0,320.0
02.04.20,322.0,1156.0,560.0,304.0
03.04.20,286.0,964.0,416.0,336.0
04.04.20,334.0,1010.0,366.0,238.0
05.04.20,262.0,850.0,258.0,276.0
06.04.20,168.0,568.0,222.0,144.0
07.04.20,252.0,626.0,280.0,250.0
08.04.20,190.0,486.0,186.0,132.0
09.04.20,384.0,1146.0,438.0,256.0
10.04.20,270.0,694.0,268.0,234.0
11.04.20,222.0,520.0,240.0,202.0
12.04.20,124.0,368.0,142.0,164.0
13.04.20,94.0,200.0,94.0,170.0
14.04.20,62.0,240.0,94.0,116.0
15.04.20,214.0,594.0,202.0,152.0
16.04.20,110.0,346.0,136.0,116.0
17.04.20,140.0,318.0,98.0,138.0
18.04.20,160.0,284.0,94.0,116.0
19.04.20,120.0,302.0,74.0,172.0
20.04.20,76.0,204.0,40.0,88.0
21.04.20,44.0,94.0,54.0,46.0
22.04.20,84.0,200.0,54.0,72.0
23.04.20,102.0,212.0,50.0,92.0
24.04.20,84.0,148.0,70.0,60.0
25.04.20,82.0,202.0,68.0,72.0
26.04.20,90.0,154.0,50.0,42.0
27.04.20,42.0,98.0,34.0,32.0
28.04.20,60.0,98.0,38.0,24.0
29.04.20,44.0,140.0,30.0,52.0
30.04.20,72.0,206.0,28.0,58.0
01.05.20,56.0,104.0,48.0,28.0
02.05.20,50.0,88.0,28.0,56.0
03.05.20,44.0,80.0,26.0,26.0
04.05.20,56.0,68.0,16.0,12.0
05.05.20,14.0,28.0,10.0,4.0
06.05.20,26.0,68.0,8.0,0.0
07.05.20,44.0,48.0,32.0,8.0
08.05.20,40.0,84.0,12.0,26.0
09.05.20,30.0,52.0,2.0,4.0
10.05.20,26.0,34.0,32.0,14.0
11.05.20,18.0,34.0,0.0,26.0
12.05.20,18.0,32.0,10.0,12.0
13.05.20,24.0,30.0,14.0,10.0
14.05.20,12.0,44.0,22.0,12.0
15.05.20,26.0,36.0,18.0,22.0
16.05.20,24.0,64.0,16.0,12.0
17.05.20,4.0,16.0,10.0,0.0
18.05.20,14.0,2.0,4.0,0.0
19.05.20,12.0,26.0,6.0,-2.0
20.05.20,34.0,20.0,12.0,12.0
21.05.20,14.0,36.0,12.0,10.0
22.05.20,8.0,20.0,-2.0,0.0
23.05.20,6.0,18.0,12.0,0.0
24.05.20,4.0,10.0,6.0,2.0
25.05.20,12.0,4.0,4.0,0.0
26.05.20,2.0,16.0,6.0,8.0
27.05.20,16.0,8.0,4.0,2.0
28.05.20,20.0,18.0,2.0,0.0
29.05.20,34.0,24.0,2.0,4.0
30.05.20,20.0,22.0,2.0,-2.0
31.05.20,6.0,18.0,6.0,2.0
01.06.20,2.0,16.0,0.0,0.0
02.06.20,2.0,4.0,0.0,2.0
03.06.20,6.0,12.0,10.0,4.0
04.06.20,22.0,6.0,6.0,6.0
05.06.20,24.0,18.0,6.0,4.0
06.06.20,14.0,18.0,8.0,0.0
07.06.20,8.0,4.0,6.0,0.0
08.06.20,8.0,4.0,2.0,0.0
09.06.20,12.0,10.0,8.0,2.0
10.06.20,8.0,24.0,14.0,0.0
11.06.20,6.0,32.0,22.0,6.0
12.06.20,28.0,16.0,-4.0,-2.0
13.06.20,18.0,36.0,8.0,0.0
14.06.20,12.0,30.0,2.0,2.0
15.06.20,12.0,12.0,2.0,2.0
16.06.20,16.0,12.0,2.0,0.0
17.06.20,22.0,32.0,16.0,4.0
18.06.20,12.0,18.0,2.0,2.0
19.06.20,14.0,16.0,4.0,0.0
20.06.20,20.0,22.0,10.0,0.0
21.06.20,40.0,44.0,12.0,2.0
22.06.20,14.0,14.0,6.0,2.0
23.06.20,12.0,30.0,0.0,2.0
24.06.20,40.0,42.0,6.0,0.0
25.06.20,46.0,48.0,10.0,0.0
26.06.20,36.0,70.0,8.0,2.0
27.06.20,52.0,74.0,12.0,0.0
