age,PopTotal
0,90044
1,90346
2,90220
3,89737
4,88579
5,87611
6,86520
7,85374
8,84238
9,83128
10,82061
11,81350
12,81164
13,81418
14,81817
15,82371
16,83431
17,85130
18,87310
19,89611
20,92017
21,94696
22,97660
23,100780
24,103922
25,107132
26,109935
27,112083
28,113767
29,115327
30,116584
31,118002
32,119811
33,121702
34,123384
35,125205
36,125514
37,123550
38,120223
39,117171
40,114027
41,112061
42,112060
43,113448
44,114592
45,115491
46,117595
47,121356
48,126018
49,130436
50,134912
51,137746
52,137993
53,136386
54,134739
55,132860
56,130073
57,126277
58,121777
59,117076
60,112191
61,107408
62,102962
63,98860
64,94642
65,90121
66,87097
67,86332
68,86931
69,87327
70,87957
71,87253
72,84323
73,79923
74,75764
75,71556
76,67328
77,63278
78,59350
79,55262
80,51042
81,47137
82,43735
83,40671
84,37621
85,34678
86,31646
87,28400
88,25066
89,21638
90,19042
91,16725
92,13693
93,9982
94,7352
95,6227
96,5144
97,3795
98,2179
99,1198
100,1660
